Stock,Beta_2Y
AMD,3.492920428821706
GNRC,2.602253375580591
UIS,2.5802740582151085
ILMN,2.42020736598598
AMAT,2.2464743954898325
DELL,2.1441633243427334
META,2.0167290152492696
NICE,1.9827326624421069
KLAC,1.8824460279860449
MITK,1.823418439600184
GRAL,1.8210726043794816
EL,1.8104178361201706
ROK,1.4376746453492324
IDCC,1.3867570698207645
RMBS,1.2583586635672412
NVO,1.207172469617925
SNPS,1.1976765629090713
FIS,1.1092817348230712
TXN,1.0388397623501782
WFC,1.0162440688146774
GOOG,0.8970748449617978
LLY,0.5910494903138486
FI,0.5380993582629311
REGN,0.06048486061666174
COUR,-0.17505621799054397
NOK,-0.6624477865111748
GILD,-0.7662946813399665
UNH,-0.8710530759593869
BP,-1.1140829262782415
